id,title,release_date,moby_score,moby_url,platforms,genres,developers,publishers
51233,Portal 2,2011-04-18,9.08,https://www.mobygames.com/game/51233/portal-2/,"Linux, Windows, Xbox 360, Macintosh, PlayStation 3","Action, 1st-person, Sci-fi / futuristic, Platform, Puzzle, Comedy, Direct control",Valve Corporation,"Buka Entertainment, CyberFront Corporation, Valve Corporation, ak tronic Software & Services GmbH"
84194,Hollow Knight,2017-02-24,9.08,https://www.mobygames.com/game/84194/hollow-knight/,"Linux, Windows, Macintosh, Windows Apps, PlayStation 4, Xbox One, Nintendo Switch, Xbox Cloud Gaming","Action, Side view, Platform, Metroidvania, Fantasy, 2D scrolling, Direct control",Team Cherry,Team Cherry
70372,Bayonetta 2,2014-09-24,9.06,https://www.mobygames.com/game/70372/bayonetta-2/,"Wii U, Nintendo Switch","Action, Hack and slash, Fantasy, Behind view, Direct control",Platinum Games Inc.,"Nintendo Co., Ltd."
52872,Resident Evil 4,2005-01-11,9.05,https://www.mobygames.com/game/52872/resident-evil-4/,GameCube,"Action, Shooter, Puzzle elements, Survival horror, Behind view, Quick Time Events (QTEs)",Capcom Production Studio 4,"Capcom Co., Ltd."
50427,Mass Effect 2,2011-01-18,9.05,https://www.mobygames.com/game/50427/mass-effect-2/,PlayStation 3,"Sci-fi / futuristic, Shooter, Role-playing (RPG), Compilation, Tank, 3rd-person (Other), Behind view, Cinematic camera, Action RPG, Direct control, Hovercraft",BioWare Edmonton,"Electronic Arts, Inc., ak tronic Software & Services GmbH"
216560,Like a Dragon: Infinite Wealth,2024-01-25,9.05,https://www.mobygames.com/game/216560/like-a-dragon-infinite-wealth/,"Windows, PlayStation 4, PlayStation 5, Xbox Series, Windows Apps, Xbox One","Action, Behind view, Mini-games, Direct control, North America, Japan (Modern/Futuristic)",Ryu ga Gotoku Studio,"SEGA of America, Inc., SEGA Corporation"
62942,Super Mario 3D World,2013-11-21,9.03,https://www.mobygames.com/game/62942/super-mario-3d-world/,Wii U,"Action, Platform, 3rd-person (Other), Direct control",Nintendo EAD,"Nintendo Co., Ltd."
217980,Balatro,2024-02-20,9.03,https://www.mobygames.com/game/217980/balatro/,"Windows, Macintosh, iPhone, Android, Nintendo Switch, PlayStation 5, Xbox Series, PlayStation 4, iPad, Xbox One","Strategy / tactics, 1st-person, Top-down, Cards / tiles, Turn-based, Fixed / flip-screen, Roguelike, Point and select",LocalThunk Inc.,PlayStack Limited
87551,Mario Kart 8 Deluxe,2017-04-28,9.02,https://www.mobygames.com/game/87551/mario-kart-8-deluxe/,Nintendo Switch,"Racing / Driving, Arcade, Motorcycle, Fantasy, Behind view, Direct control, Motion control, Automobile, Track racing",Nintendo EAD,"Nintendo Co., Ltd., Shenzhen Tencent Computer System Co., Ltd."
59294,Persona 4 Golden,2012-06-14,9.02,https://www.mobygames.com/game/59294/persona-4-golden/,"Windows, PS Vita, PlayStation 4, Nintendo Switch, Xbox Series, Windows Apps, Xbox One","Role-playing (RPG), Detective / mystery, Anime / Manga, Fantasy, Turn-based, 3rd-person (Other)",Index Corporation,"SEGA of America, Inc., Index Corporation, Index Digital Media, Inc., SEGA Corporation"
52226,Xenoblade Chronicles,2010-06-10,8.97,https://www.mobygames.com/game/52226/xenoblade-chronicles/,"Wii, Wii U, New Nintendo 3DS","Real-time, Role-playing (RPG), Anime / Manga, Fantasy, 3rd-person (Other), Japanese-style RPG (JRPG), Sandbox / open world, Action RPG","Monolith Software, Inc.","Nintendo of America Inc., Nintendo Co., Ltd., Nintendo of Europe GmbH"
203910,Street Fighter 6,2023-06-02,8.96,https://www.mobygames.com/game/203910/street-fighter-6/,"Windows, PlayStation 4, PlayStation 5, Xbox Series","Action, Side view, Martial arts, Fighting, Behind view, 2D scrolling, Direct control, Contemporary","Capcom Co., Ltd.","Capcom Co., Ltd."
46614,Red Dead Redemption,2010-05-18,8.95,https://www.mobygames.com/game/46614/red-dead-redemption/,"Xbox 360, PlayStation 3","Action, Shooter, Crime, Behind view, Sandbox / open world, Direct control, North America, Western","Rockstar San Diego, Inc.","Rockstar Games, Inc., ak tronic Software & Services GmbH"
24246,Ōkami,2006-04-20,8.95,https://www.mobygames.com/game/24246/okami/,"Windows, PlayStation 2, PlayStation 3, Wii, PlayStation 4, Xbox One, Nintendo Switch","Action, Metroidvania, Puzzle elements, Fantasy, Behind view, Direct control, Japan (Ancient/Classical/Medieval)","Clover Studio Co., Ltd.","Capcom Co., Ltd."
55403,Batman: Arkham City,2011-10-18,8.95,https://www.mobygames.com/game/55403/batman-arkham-city/,"Windows, Xbox 360, PlayStation 3, OnLive","Action, Metroidvania, Licensed, Stealth, Beat 'em up / brawler, Behind view, Contemporary, North America",Rocksteady Studios Ltd,"Warner Bros. Interactive Entertainment Inc., ak tronic Software & Services GmbH"
120555,Resident Evil 2,2019-01-25,8.94,https://www.mobygames.com/game/120555/resident-evil-2/,"Windows, PlayStation 4, Xbox One, PlayStation 5, Xbox Series","Action, Shooter, Puzzle elements, Horror, Survival horror, Behind view, Direct control, Contemporary, North America, Regional differences","Capcom Co., Ltd.","Capcom Co., Ltd."
218917,Final Fantasy VII: Rebirth,2024-02-29,8.94,https://www.mobygames.com/game/218917/final-fantasy-vii-rebirth/,PlayStation 5,"Role-playing (RPG), Anime / Manga, Fantasy, 3rd-person (Other), Cinematic camera, Japanese-style RPG (JRPG), Direct control",Square Enix Creative Business Unit I,"Square Enix Co., Ltd."
30577,The Orange Box,2007-10-10,8.93,https://www.mobygames.com/game/30577/the-orange-box/,"Windows, Xbox 360, PlayStation 3",Compilation,Valve Corporation,"ak tronic Software & Services GmbH, Electronic Arts, Inc., CyberFront Corporation, Buka Entertainment, Valve Corporation"
60922,The Last of Us,2013-06-14,8.93,https://www.mobygames.com/game/60922/the-last-of-us/,"PlayStation 3, PlayStation Now","Action, Shooter, Post-apocalyptic, Stealth, Survival horror, Behind view, Direct control, Quick Time Events (QTEs), Regional differences","Naughty Dog, Inc.","Sony Computer Entertainment America LLC, Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment Inc."
210462,Super Mario Bros. Wonder,2023-10-20,8.93,https://www.mobygames.com/game/210462/super-mario-bros-wonder/,Nintendo Switch,"Action, Side view, Platform, Fantasy, 2D scrolling, Direct control",Nintendo EPD,"Nintendo Co., Ltd."
72089,Bloodborne,2015-03-24,8.92,https://www.mobygames.com/game/72089/bloodborne/,"PlayStation 4, PlayStation Now","Role-playing (RPG), Hack and slash, Fantasy, Behind view, Action RPG, Direct control","FromSoftware, Inc.","Sony Computer Entertainment America LLC, Sony Interactive Entertainment Inc."
73001,The Witcher 3: Wild Hunt,2015-05-18,8.92,https://www.mobygames.com/game/73001/the-witcher-3-wild-hunt/,"Windows, PlayStation 4, Xbox One","Role-playing (RPG), Fantasy, Licensed, Adult, Behind view, Action RPG",CD Projekt RED,"CD Projekt RED, CD Projekt S.A."
62275,Grand Theft Auto V,2013-09-17,8.91,https://www.mobygames.com/game/62275/grand-theft-auto-v/,"Windows, Xbox 360, PlayStation 3, PlayStation 4, Xbox One, PlayStation 5, Xbox Series, Xbox Cloud Gaming","Action, Racing / Driving, 1st-person, Shooter, Crime, Behind view, Sandbox / open world, Direct control, Contemporary, Regional differences",Rockstar North Ltd.,"Rockstar Games, Inc."
115729,Tetris Effect,2018-11-09,8.9,https://www.mobygames.com/game/115729/tetris-effect/,"Windows, Windows Apps, PlayStation 4, Xbox One, Nintendo Switch, PlayStation 5, Xbox Series, Quest","Action, Side view, Puzzle, Fixed / flip-screen, Falling block puzzle, Direct control","Stage Games Inc., Resonair Inc., Monstars Inc.","Sony Interactive Entertainment America LLC, Enhance Experience Inc."
